Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6027527,WHS4_544,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,2021,,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6028518,WHS4_544,COUNTRY,BEN,YEAR,AFR,Africa,,2002,,,,,,,,76,76.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6030247,WHS4_544,COUNTRY,FJI,YEAR,WPR,Western Pacific,,2021,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6036766,WHS4_544,COUNTRY,SUR,YEAR,AMR,Americas,,2003,,,,,,,,74,74.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6036905,WHS4_544,COUNTRY,MNG,YEAR,WPR,Western Pacific,,2008,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6037015,WHS4_544,COUNTRY,LAO,YEAR,WPR,Western Pacific,,2006,,,,,,,,56,56.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6040123,WHS4_544,COUNTRY,KGZ,YEAR,EUR,Europe,,2018,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6042413,WHS4_544,COUNTRY,SYC,YEAR,AFR,Africa,,2006,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6048068,WHS4_544,WORLDBANKINCOMEGROUP,WB_LI,YEAR,,,,2007,,,,,,,,73,73.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6048207,WHS4_544,COUNTRY,FJI,YEAR,WPR,Western Pacific,,2013,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6066431,WHS4_544,WORLDBANKINCOMEGROUP,WB_LMI,YEAR,,,,2002,,,,,,,,65,65.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6080702,WHS4_544,COUNTRY,PRT,YEAR,EUR,Europe,,2016,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6085793,WHS4_544,COUNTRY,MYS,YEAR,WPR,Western Pacific,,2016,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6086098,WHS4_544,COUNTRY,LAO,YEAR,WPR,Western Pacific,,2016,,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6087031,WHS4_544,COUNTRY,SWE,YEAR,EUR,Europe,,2016,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6091819,WHS4_544,WORLDBANKINCOMEGROUP,WB_LMI,YEAR,,,,2020,,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6093126,WHS4_544,COUNTRY,FRA,YEAR,EUR,Europe,,2000,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
