Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1868438,WHS4_543,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2014,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1868855,WHS4_543,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2022,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1873877,WHS4_543,COUNTRY,SWE,EUR,YEAR,Europe,,,2018,,,,,,,26,26.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1881023,WHS4_543,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,2012,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1882457,WHS4_543,COUNTRY,VCT,AMR,YEAR,Americas,,,2003,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1883662,WHS4_543,COUNTRY,ERI,AFR,YEAR,Africa,,,2005,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1883925,WHS4_543,COUNTRY,KAZ,EUR,YEAR,Europe,,,2012,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1886785,WHS4_543,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1886989,WHS4_543,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2009,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1889663,WHS4_543,COUNTRY,PER,AMR,YEAR,Americas,,,2007,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1890228,WHS4_543,COUNTRY,PRY,AMR,YEAR,Americas,,,2012,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1895263,WHS4_543,COUNTRY,VEN,AMR,YEAR,Americas,,,2024,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
1900530,WHS4_543,REGION,AMR,,YEAR,,,,2015,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1906507,WHS4_543,COUNTRY,PRY,AMR,YEAR,Americas,,,2005,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1912538,WHS4_543,COUNTRY,GEO,EUR,YEAR,Europe,,,2002,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1912783,WHS4_543,COUNTRY,NIU,WPR,YEAR,Western Pacific,,,2007,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1914146,WHS4_543,COUNTRY,NER,AFR,YEAR,Africa,,,2007,,,,,,,73,73.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1915704,WHS4_543,COUNTRY,ARM,EUR,YEAR,Europe,,,2003,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1919789,WHS4_543,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2013,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1920476,WHS4_543,COUNTRY,GIN,AFR,YEAR,Africa,,,2020,,,,,,,74,74.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1921666,WHS4_543,COUNTRY,EST,EUR,YEAR,Europe,,,2005,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1925976,WHS4_543,COUNTRY,RUS,EUR,YEAR,Europe,,,2008,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
