iso3,year,agriculture_gdp_pct,basic_sanitation_access,basic_water_access,births_attended_skilled,death_rate,electricity_access_pct,exports_pct_gdp,fertility_rate,food_production_index,gdp_growth,gdp_per_capita_ppp,gini_index,health_expenditure_pct_gdp,health_expenditure_per_capita,infant_mortality,internet_users_pct,life_expectancy_total,literacy_rate,nurses_midwives_per_1000,oop_health_expenditure_pct,physicians_per_1000,pm25_exposure,population,population_65_plus,population_density,tax_revenue_pct_gdp,unemployment_pct,urban_population_pct
ABW,2000,0.0186075360521011,97.9731037869072,95.23353621008,,5.85,91.7,74.3860109498193,1.845,,7.62292064930222,37524.0346018738,,,,,15.4428229480349,72.939,97.2900009155273,,,,,90588.0,6.77827661767771,503.266666666667,,,65.3545497799987
ABW,2001,0.0186174866510853,98.0125082381901,95.3590561720825,,4.757,100.0,70.9967837702649,1.813,,4.1820016304779,38729.4588237779,,,,,17.1,73.044,,,,,,91439.0,7.01622280050938,507.994444444444,,,65.3351137913914
ABW,2002,0.0180539339920836,98.051912689473,95.484576134085,96.0,5.344,100.0,64.5643135803172,1.8,,-0.944953481157384,38098.9048329158,,,,,18.8,73.135,,,,,,92074.0,7.28289477284044,511.522222222222,,,65.2820691308217
ABW,2003,0.0180105822419485,98.0913171407559,95.6100960960874,,5.38,100.0,62.7312132409209,1.808,,1.11050459944282,38086.0123762909,,,,,20.8,73.236,,,,,,93128.0,7.55172787346983,517.377777777778,,,65.1982922587168
ABW,2004,0.0175662581169615,98.1307215920388,95.7356160580899,,5.277,100.0,64.6655585140977,1.819,,7.29372807096192,40000.5625183532,,,,,23.0,73.223,,,,,,95138.0,7.84229582942202,528.544444444444,,,65.0886533661558
ABW,2005,0.0173277773977134,98.1701260433217,95.8611360200924,,4.937,100.0,68.0752981880873,1.844,,-0.383137672063768,38828.2166342999,,,,,25.4,73.415,,,,,,97635.0,8.13116841770137,542.416666666667,,,64.9580226442175
ABW,2006,0.0175077037289373,98.2095304946046,95.9866559820949,,5.422,100.0,64.5941526531523,1.862,,1.12741146411624,38566.8026759098,,,,,28.0,73.498,,,,,,99405.0,8.39636239746311,552.25,,,64.811270283981
ABW,2007,0.0178385963799542,98.2489349458875,96.1121759440973,,5.322,100.0,65.0612625386555,1.881,,3.0895443848509,39462.5851547515,,,,,30.9,73.642,,,,,,100150.0,8.64298508080798,556.388888888889,,,64.6532664765254
ABW,2008,0.0169973987102413,98.2883393971704,96.2376959060998,,5.49,100.0,65.5292950658025,1.889,,1.83575517191368,39881.5879733887,,,,,52.0,73.783,,,,,,100917.0,8.90347581144017,560.65,,,64.4888814129295
ABW,2009,0.0199068534264945,98.3277438484533,96.3632158681023,,6.191,100.0,62.9185634689552,1.875,,-11.6777413693852,34986.1484622772,,,,,58.0,73.974,,,,,,101604.0,9.18298822020591,564.466666666667,,,64.3229852842726
ABW,2010,0.0204920878910203,98.3671482997362,96.4887358301048,,6.078,93.4,60.2181860904717,1.855,,-2.73345679250639,33951.6246182745,,,,,62.0,74.297,96.8199996948242,,,,,101838.0,9.48922972426296,565.766666666667,,,64.1612965549477
ABW,2011,0.0203949029261921,98.4065527510191,96.6142557921072,,6.258,100.0,69.7510127562388,1.858,,3.36923718421511,34837.9402869986,,,,,69.0,74.578,,,,,,102591.0,9.85086303363999,569.95,,,63.9992605838571
ABW,2012,0.0214687486582032,98.445957202302,96.7397757541097,,5.85,100.0,73.1035458041627,1.907,,-1.04079988436683,33972.3401082566,,,,,74.0,74.841,,,,,,104110.0,10.2595724400202,578.388888888889,,,63.8252085199599
ABW,2013,0.0178174631618829,98.4853616535849,96.7397757541097,,5.422,100.0,73.5764358929723,1.944,,6.43146080719245,35621.7848546409,,,,,78.9,75.072,,,,,,105675.0,10.6935133949248,587.083333333333,,,63.6382914355326
