Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6731787,UHC_INDEX_REPORTED,COUNTRY,MUS,YEAR,AFR,Africa,,,2006,,,,,,,70,70.0,,,,2025-12-05T11:39:13.277+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6734359,UHC_INDEX_REPORTED,COUNTRY,SYC,YEAR,AFR,Africa,,,2001,,,,,,,62,62.0,,,,2025-12-05T11:39:13.277+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6734397,UHC_INDEX_REPORTED,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,,,2021,,,,,,,72,72.0,,,,2025-12-05T11:39:13.277+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6735960,UHC_INDEX_REPORTED,WORLDBANKREGION,WB_LAC,YEAR,,,,,2003,,,,,,,70,70.0,,,,2025-12-05T11:39:13.277+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6736602,UHC_INDEX_REPORTED,COUNTRY,AGO,YEAR,AFR,Africa,,,2010,,,,,,,38,38.0,,,,2025-12-05T11:39:13.277+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6738282,UHC_INDEX_REPORTED,COUNTRY,BRA,YEAR,AMR,Americas,,,2021,,,,,,,84,84.0,,,,2025-12-05T11:39:13.277+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6738337,UHC_INDEX_REPORTED,COUNTRY,KNA,YEAR,AMR,Americas,,,2023,,,,,,,80,80.0,,,,2025-12-05T11:39:13.277+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6738515,UHC_INDEX_REPORTED,COUNTRY,LAO,YEAR,WPR,Western Pacific,,,2006,,,,,,,41,41.0,,,,2025-12-05T11:39:13.277+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6739113,UHC_INDEX_REPORTED,COUNTRY,LAO,YEAR,WPR,Western Pacific,,,2009,,,,,,,45,45.0,,,,2025-12-05T11:39:13.277+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6739522,UHC_INDEX_REPORTED,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,,2013,,,,,,,50,50.0,,,,2025-12-05T11:39:13.277+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6740697,UHC_INDEX_REPORTED,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,,2015,,,,,,,24,24.0,,,,2025-12-05T11:39:13.277+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6741220,UHC_INDEX_REPORTED,COUNTRY,SEN,YEAR,AFR,Africa,,,2019,,,,,,,50,50.0,,,,2025-12-05T11:39:13.277+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6743792,UHC_INDEX_REPORTED,COUNTRY,CYP,YEAR,EUR,Europe,,,2013,,,,,,,74,74.0,,,,2025-12-05T11:39:13.277+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
