iso3,year,uhc_index,ncd_mortality_3070,under5_mortality,maternal_mortality,life_expectancy,dpt3_coverage,measles_coverage,hospital_beds,agriculture_gdp_pct,basic_sanitation_access,basic_water_access,births_attended_skilled,death_rate,electricity_access_pct,exports_pct_gdp,fertility_rate,food_production_index,gdp_growth,gdp_per_capita_ppp,gini_index,health_expenditure_pct_gdp,health_expenditure_per_capita,infant_mortality,internet_users_pct,life_expectancy_total,literacy_rate,nurses_midwives_per_1000,oop_health_expenditure_pct,physicians_per_1000,pm25_exposure,population,population_65_plus,population_density,tax_revenue_pct_gdp,unemployment_pct,urban_population_pct,region,uhc_year,uhc_type,treated,log_ncd_mortality_3070,log_under5_mortality,log_maternal_mortality,log_gdp_per_capita_ppp,log_population,log_health_expenditure_per_capita,uhc_change,post_treatment
AFG,2000,30.0,43.2,131.657157979,110.075927014,53.82332641,30.0,24.0,,,22.298273284655,29.7309664339367,12.4,12.608,4.4,,7.566,67.78,,1617.82647494969,,,,110.6,,55.005,,,,,64.767279818427,20130327.0,2.26197021041933,30.8638471091486,,7.897,18.5581995230666,South Asia,2019.0,tax_based,1,3.7887247890836524,4.887768040522532,4.710213994625543,7.389456767544086,16.817738091571652,,-6.0,0
AFG,2001,31.0,43.5,127.43069189,106.984454877,53.91018761,43.0,35.0,2.02,,22.3095245309963,29.7629255070812,,11.954,9.3,,7.453,61.59,-9.4319740700862,1454.11078195559,,,,107.5,0.0047225682421736,55.511,,,,0.202,64.5975727246894,20284307.0,2.26194811585133,31.099929472732,,7.973,18.7412381251552,South Asia,2019.0,tax_based,1,3.7954891891721947,4.855389396103142,4.681987280440318,7.282837315508274,16.825358140163544,,-4.0,0
AFG,2002,32.0,43.1,123.14150602,103.848381844,55.15447775,46.0,36.0,,38.6278918638443,23.7347094449173,31.8360773279001,,11.187,14.1,,7.32,74.72,28.6000011706788,1774.30874287341,,9.44339085,85.8574949380725,104.3,0.0045613951702214,56.225,,,85.37560272,,64.4168880125936,21378117.0,2.26397395055888,32.77696058139,,7.867,18.9412480133309,South Asia,2019.0,tax_based,1,3.7864597824528,4.821422092537503,4.65251532417209,7.481729626430761,16.877878433493937,4.464268786465973,-1.0,0
AFG,2003,33.0,42.5,118.730969147,100.570316535,56.08520691,44.0,41.0,,37.4188554431481,25.160116505547,33.9086290770251,14.3,10.714,19.0,,7.174,76.77,8.83227780288267,1815.92819979586,,8.94125843,85.933025306351,100.8,0.0878912528559713,57.171,,,86.06919098,,64.1762314183241,22733049.0,2.26675269120301,34.8543443263879,,7.844,19.1600346409089,South Asia,2019.0,tax_based,1,3.7727609380946383,4.7852473021334765,4.620751332368726,7.504902551817856,16.939330370724804,4.4651379981229455,-4.0,0
AFG,2004,34.0,42.3,114.236603899,97.158728055,56.47652053,51.0,50.0,,29.7210671376957,26.592743290922,35.9993546342258,,10.375,23.8,,7.018,74.75,1.41411799339429,1776.91820712187,,9.80847359,93.9358043024416,97.4,0.105809030021958,57.81,,,84.52758789,,63.8266086780653,23560654.0,2.2686467503968,36.1232295355933,,7.794,19.3993593959593,South Asia,2019.0,tax_based,1,3.768152635008444,4.746987439971255,4.586585842443804,7.483198412272086,16.975088717719444,4.553200918997707,-4.0,0
AFG,2005,35.0,41.9,109.652677528,93.673699025,56.79050349,57.0,58.0,,31.114854912062,28.0329173729232,38.1080542246859,,9.913,28.7,,6.858,83.54,11.2297148272859,1908.11478234587,,9.94828892,105.927706244667,93.8,1.22414808372471,58.247,,0.612,78.97008514,,63.3190255280017,24404567.0,2.26974934650551,37.4171181945019,,7.878,19.7059095753667,South Asia,2019.0,tax_based,1,3.758871825933971,4.706396264378712,4.550436232209419,7.554394948867315,17.010280885855995,4.672152963539396,-2.0,0
AFG,2006,35.0,41.1,105.085165623,90.103409219,56.992143,60.0,58.0,1.66,28.6359685844686,29.4737113537171,40.2157630407476,18.9,9.659,33.5,,6.686,77.31,5.35740324748592,1929.72389709372,,10.62276554,118.405819500501,90.3,2.10712364546412,58.553,,0.458,76.82497406,0.166,61.5146494273075,25424094.0,2.2717800234734,38.9802584977692,6.96759757507017,7.897,20.1104530189181,South Asia,2019.0,tax_based,1,3.7400477406883357,4.664242220793064,4.511995226386772,7.565650287789794,17.05120790437846,4.782527939305953,5.0,0
AFG,2007,36.0,40.5,100.671571323,86.680504143,57.2548387,60.0,63.0,1.82,30.1050113574013,30.8753174900848,42.4294955631251,,9.487,38.4,,6.508,84.65,13.8263195471281,2155.35306784413,,9.90467453,112.257676068474,86.8,1.899999976,58.956,,0.518,78.16998291,0.182,58.0837850174423,25909852.0,2.27621524044213,39.7250233813225,5.28345660398282,7.841,20.5906579215423,South Asia,2019.0,tax_based,1,3.7256934272366524,4.62174772929698,4.473699572989289,7.676173679217193,17.07013387903706,4.729665541920268,0.0,0
AFG,2008,36.0,39.6,96.343550773,83.295401359,57.9008556,66.0,64.0,1.83,24.8922700059742,32.2737202067488,44.6537922388598,24.0,8.884,42.4,,6.392,79.59,3.92498381999467,2191.50435559062,,10.25649548,137.449674243631,83.4,1.84,59.708,,0.52,75.40338898,0.183,54.1911438080183,26482622.0,2.28356920247549,40.6031951918802,6.08796493020769,7.879,21.1241481349633,South Asia,2019.0,tax_based,1,3.703768066607687,4.5782464817860244,4.434327312618313,7.692799710830736,17.09199934001861,4.930506896733242,-2.0,0
AFG,2009,37.0,38.3,92.203820976,80.004352206,58.52946588,64.0,63.0,2.2,29.2975010547259,33.6691080892303,46.8885842088645,,8.645,48.3,,6.295,92.24,21.3905283926492,2565.02208584099,,9.81848717,153.093070343548,80.1,3.55,60.248,,0.628,72.77924347,0.22,51.0014373086482,27466101.0,2.29354363572652,42.1110666482682,8.48175836103604,7.808,21.6885475109053,South Asia,2019.0,tax_based,1,3.6712245188752153,4.534788718447733,4.394502884167255,7.8501121522472666,17.12846314774784,5.0375567727461545,-5.0,0
AFG,2010,38.0,37.6,88.301606553,76.912594345,59.00377167,68.0,66.0,2.44,26.2100685374552,35.0616668763216,49.1337948047642,34.3,8.402,42.7,,6.195,91.68,14.3624414710737,2848.58606111495,,8.56967163,148.2857286886,76.9,4.0,60.702,,,78.9966507,0.244,49.6793770289443,28284089.0,2.30661490116607,43.3652070588596,9.16975191915408,7.809,22.2614799010924,South Asia,2019.0,tax_based,1,3.653252276470785,4.492019478235743,4.35558761304391,7.954929021000044,17.157810013712236,5.005862111822253,,0
AFG,2011,36.0,37.2,84.627930317,73.998014629,59.54863714,73.0,68.0,2.58,23.7436639877543,36.4517450288191,51.3896718184372,38.6,8.032,43.2,,6.094,87.4,0.426354776777345,2757.05258747725,,8.56190777,146.844395694768,74.0,5.0,61.25,31.4500007629394,,73.25517273,0.258,61.8170559083924,29347708.0,2.32214045471626,44.9959492816951,8.91679399595736,7.83,22.8205691572485,South Asia,2019.0,tax_based,1,3.6428355156125294,4.4500115186770985,4.3174616415725975,7.922280125422104,17.194725043270065,4.996160340235238,-6.0,0
AFG,2012,37.0,36.5,81.20856359,71.259669854,59.92210578,78.0,67.0,2.46,24.390873626371,37.8393855148321,53.6558094830286,39.9,7.822,69.1,,5.985,97.18,12.7522870926697,2985.31914452845,,7.89716864,157.76176536666,71.2,5.454500198,61.735,,,74.48620605,0.246,70.9223165078033,30560034.0,2.33791133871121,46.8546892967205,7.70780060287773,7.875,23.3434391310979,South Asia,2019.0,tax_based,1,3.624340932976365,4.40925947656279,4.280266156846616,8.001796852671987,17.235203667549897,5.067404747572492,-1.0,0
AFG,2013,38.0,36.0,78.022991873,68.693082893,60.43497705,72.0,64.0,2.9,22.8106627361766,39.2247837532389,55.9321352223542,,7.597,68.0,,5.879,94.63,5.60074465863221,3046.57993117128,,8.80596447,184.226283879341,68.6,5.900000095,62.188,,0.255,72.04785919,0.29,73.1318159038053,31622704.0,2.34976901406028,48.4839765113534,7.12277329020889,7.921,23.8077136743646,South Asia,2019.0,tax_based,1,3.6109179126442243,4.369738846491242,4.244101071708322,8.022103089451592,17.269385933208728,5.221578233736876,6.0,0
AFG,2014,38.0,35.4,75.123624621,66.358210249,60.42859204,74.0,63.0,3.04,22.1370413719574,40.6081362553092,58.2185747849882,45.2,7.511,89.5,,5.77,101.99,2.72454336219565,3017.94254424696,,9.52887821,213.152665414967,66.2,7.0,62.26,,0.15,73.05592346,0.304,77.1437275538632,32792523.0,2.35653566515757,50.2775447311531,6.88210294277301,7.915,24.1910166387726,South Asia,2019.0,tax_based,1,3.594568774642695,4.332358658490818,4.210024799643436,8.012661898140168,17.305711120545837,5.366689150469877,-4.0,0
AFG,2015,38.0,35.0,72.438705539,64.214857597,60.32951348,76.0,65.0,2.9,20.6343227166798,41.9898186307368,60.5153476686209,50.5,7.528,71.5,,5.652,95.97,1.45131466066431,2967.692067153,,10.10534763,231.533667789642,64.0,8.260000229,62.27,33.75,0.132,78.3822937,0.29,73.4908176326415,33831764.0,2.35669506261475,51.8709105683578,7.58538233129798,9.032,24.4649118421568,South Asia,2019.0,tax_based,1,3.58351893845611,4.296451120053952,4.177687320227131,7.995876753370399,17.33691071202379,5.449035022241174,-4.0,0
AFG,2016,39.0,34.9,69.970039443,62.254034399,60.39366208,78.0,66.0,2.84,25.7403140364582,43.3698641937307,62.8220704134542,,7.32,97.7,,5.542,102.04,2.26031420279821,2958.7853992308,,11.81859016,261.566866928026,61.9,11.0,62.646,,0.151,75.97433472,0.284,72.7659101386992,34700612.0,2.35549736125691,53.2030296061205,9.50265278288094,10.116,24.6588345720126,South Asia,2019.0,tax_based,1,3.580737295494233,4.262257808306781,4.1471589105378825,7.99287204442997,17.362267910467104,5.570505780747592,1.0,0
AFG,2017,40.0,35.0,67.637370149,60.401286217,60.8752198,80.0,64.0,2.45,26.4201990834448,44.7508111861658,65.142136058033,53.4,7.315,97.7,,5.433,99.84,2.6470032027451,2952.99891598909,,12.62081718,294.796437277569,60.1,13.5,62.406,,0.179,75.48258209,0.245,65.8623470043896,35688935.0,2.35973702156897,54.7183278904681,9.89845089688421,11.184,24.8352821238871,South Asia,2019.0,tax_based,1,3.58351893845611,4.228837140765649,4.117430783093297,7.990915096127511,17.390351282749602,5.689671505841654,-2.0,0
AFG,2018,42.0,34.6,65.429899369,58.630328767,60.48797975,82.0,67.0,3.03,22.0428967527575,46.1335435081079,67.4758694595857,58.8,7.271,93.4,,5.327,96.19,1.18922812944517,2902.39211285546,,14.20841885,345.587947038119,58.3,16.79999924,62.443,,0.451,76.22302246,0.303,67.2271774798558,36743039.0,2.36712047688815,56.3344817012404,,11.192,24.9991645191406,South Asia,2019.0,tax_based,1,3.572345637857985,4.196147246833311,4.088164316569421,7.97363502650351,17.419459377931894,5.848136601830104,2.0,0
AFG,2019,42.0,34.4,63.324318829,56.932365216,61.22381311,74.0,63.0,2.14,25.7739707394105,47.5183902057843,69.8226976480641,,7.064,97.7,,5.238,109.41,3.91160341625552,2927.2451435353,,14.83131981,383.16489590585,56.6,17.60000038,62.941,,,76.818367,0.214,58.3308722306744,37856121.0,2.37615338349114,58.0410606687825,,11.187,25.1437258839803,South Asia,2019.0,tax_based,1,3.5667118201397288,4.163937768589779,4.059276213137478,7.98215859546156,17.449303268493857,5.951071876836366,6.0,1
AFG,2020,42.0,34.8,61.3055388,55.281152896,60.49099642,72.0,61.0,2.53,29.9755825210461,48.9056813120247,72.1820710205908,61.8,7.565,97.7,10.4208171386207,5.145,112.3,-2.35110067203466,2769.68574507111,,15.53361416,401.16333264641,54.9,17.04850006,61.454,36.0149650316607,,74.81396484,0.253,46.0870936659706,39068979.0,2.37073382439812,59.9006163469942,,11.71,25.2622103446137,South Asia,2019.0,tax_based,1,3.5779478934066544,4.132050327138516,4.030359717039927,7.926850129940631,17.480839359703,5.996858306216928,0.0,1
AFG,2021,42.0,32.7,59.335428714,53.640046287,59.12690224,65.0,55.0,,33.5976188725451,50.2966403259731,74.5545259961346,,8.002,97.7,14.342152797537,5.039,114.32,-20.7388393676343,2144.16657002819,,21.50844383,461.176859296471,53.2,16.51429939,60.417,37.2700004577637,,77.21405029,,,40000412.0,2.35254951873996,61.3286907992579,,12.006,25.3478620272481,South Asia,2019.0,tax_based,1,3.517497837358316,4.0999194720609395,4.000767062388823,7.670972483371919,17.504400337024908,6.135947630157817,8.0,1
AFG,2022,42.0,,57.390636334,51.985348085,,69.0,60.0,,33.7014323213923,51.6914397704169,76.9392075646596,,5.993,85.3,18.3800424016375,4.932,111.43,-6.24017199240269,1981.71016810561,,23.0881691,490.161282127766,51.6,15.86629963,65.617,,,77.94615173,,,40578842.0,2.35514236704931,62.2155405301811,,14.1,25.3939250580909,South Asia,2019.0,tax_based,1,,4.067155540232296,3.9700154241060224,7.592219959544949,17.51875738037342,6.196772550696442,11.0,1
AFG,2023,42.0,,55.507863502,50.364397821,,68.0,59.0,3.17,34.7432471445174,53.0909369400519,78.926564391722,,5.797,85.3,16.8527881206002,4.84,,2.26694373649188,1983.81261992909,,14.9857626,329.823207832857,49.9,15.92840004,66.035,,0.549,77.1395874,0.317,,41454761.0,2.37753752819851,63.5585008355948,,14.008,25.4730529631167,South Asia,2019.0,tax_based,1,,4.03437980549472,3.9389452830718117,7.593279790644908,17.54011331835086,5.8015841173780816,3.0,1
AGO,2000,28.0,30.5,203.00848656,115.039192848,49.36774351,54.0,21.0,,,33.8004076625916,37.8422368865436,,18.08,24.2,,6.639,32.16,3.05462423430785,6796.40633958013,51.9,1.68525279,63.4081264953712,108.3,0.105045562462262,46.501,,,27.3046875,,23.5093420911103,16194869.0,2.67386240277283,12.9901892997513,28.7033821587261,16.646,50.5070653484197,Other,,,0,3.449987545831587,5.318161593763241,4.753928003420669,8.824296397754859,16.60020508338647,4.165239812965618,-10.0,0
AGO,2001,29.0,29.7,196.90477008,111.861959602,50.06036648,72.0,28.0,,,34.2558546036306,38.3388157469695,44.7,17.606,20.0,,6.601,36.9,4.20599855619506,6848.68325514498,,3.95882654,153.477864857258,103.8,0.136013867429868,47.032,67.4100036621094,,45.09108734,,23.6526821946051,16747208.0,2.69953363866782,13.4332301275367,29.2466757235017,16.668,51.7224790407329,Other,,,0,3.4242626545931514,5.287785955804645,4.726165475512709,8.831957690062342,16.633742175485878,5.04005081654143,-8.0,0
AGO,2002,30.0,29.4,189.907281473,108.149813595,51.05750193,77.0,22.0,,9.3867906039345,34.7112995930867,38.8353924997189,,17.071,26.3,49.4975384807229,6.567,41.72,13.6656887608562,7523.81291488042,,2.9398222,127.32808038629,98.4,0.270376745595134,47.874,,,49.66205215,,23.8200090775863,17327699.0,2.71997445477399,13.8988521697281,13.7150483492949,16.432,52.8926234794038,Other,,,0,3.414442608412176,5.251787872869656,4.6927213752070465,8.925961227498105,16.667816935053647,4.854590112727052,,0
AGO,2003,30.0,29.3,182.248712038,103.954551929,51.74053195,56.0,21.0,,10.000076846294,35.7566857674784,40.3965157225134,,15.559,27.4,47.564460965317,6.533,45.12,3.48731240097521,7518.88948314505,,3.10680342,137.608418541743,92.5,0.370682065225727,50.218,,,48.51068878,,23.9811124380809,17943712.0,2.73612839974248,14.392967032967,15.0363957253039,16.445,54.0043545370761,Other,,,0,3.4111477125153233,5.2108443123000425,4.653527417684354,8.925306720445606,16.702750360850082,4.931652824750629,-11.0,0
AGO,2004,30.0,29.0,173.781223561,99.313806533,52.3558271,63.0,18.0,0.63,10.3635914449926,36.8026608112345,41.9772367862102,,14.958,28.4,51.0441768869336,6.499,48.23,11.4198633904585,8081.75707952672,,3.46084046,169.117973150398,85.8,0.464814617985909,51.123,,0.994,46.89109802,0.063,24.1057819741159,18600423.0,2.7468515097748,14.9197264779017,15.7676000610902,16.313,55.0445280863936,Other,,,0,3.4011973816621555,5.163535040752763,4.608303337867553,8.997488316025613,16.738694934122538,5.136492156079788,-15.0,0
AGO,2005,31.0,27.8,165.020424417,94.444540398,53.34585395,51.0,14.0,,8.56536731681355,37.8465318357126,43.5743439976406,,14.31,29.4,58.7232661870034,6.461,52.4,14.1547775343954,8895.37660461036,,2.54726577,139.081253464685,78.9,1.143399954,52.13,,,42.33265686,,24.1638073837181,19291161.0,2.74989158894821,15.4737795780861,15.2799733046431,16.295,56.0,Other,,,0,3.3603753871419,5.112110819444535,4.55854534998164,9.093399349745644,16.775157621533175,4.942222636143479,-7.0,0
AGO,2006,34.0,27.9,155.467832202,89.05231267,54.27926946,53.0,8.0,,8.44100897843275,38.7338819151989,45.0139996038983,,13.757,30.5,56.8533385666593,6.419,53.64,11.8418178757044,9588.82238860962,,2.39833426,145.136640498418,72.2,1.5,52.965,,,30.66570091,,24.1729316066879,20015279.0,2.74799317061731,16.0546073634395,20.8842752142441,16.123,56.8939032662772,Other,,,0,3.3638415951183864,5.052850443817788,4.500390753357705,9.168457647227315,16.812006539818828,4.984542077857549,-3.0,0
AGO,2007,37.0,26.6,146.019962595,83.758079384,55.35489997,75.0,43.0,,8.61624042186554,39.6205689404056,46.4686546771725,47.3,12.98,37.5,61.2105085588617,6.372,60.96,13.0026889457975,10437.5899897179,,2.65790844,181.3188573449,66.0,1.700000048,54.2,,,28.38397217,,24.1741901310537,20778561.0,2.74350079527883,16.6668492821048,19.2115962538976,16.066,57.7564632930133,Other,,,0,3.3178157727231046,4.990568377524742,4.439801073681358,9.253264793859275,16.849432340085887,5.205757117612502,7.0,0
AGO,2008,38.0,26.0,136.960625414,78.663645859,56.22016209,74.0,44.0,,7.81831803295795,40.5073529931406,47.9390179800655,,12.302,38.5,65.0305321876619,6.32,64.82,10.7866360496581,11134.7047183666,42.7,2.97807598,221.018857513397,60.3,1.899999976,55.281,,,21.6532383,,24.1723114771848,21578655.0,2.73834722321665,17.3086187535093,22.9883598928014,16.152,58.5851745819614,Other,,,0,3.295836866004329,4.926968321357871,4.377813344456626,9.317911866271372,16.887215235966003,5.402762322018804,-6.0,0
AGO,2009,38.0,25.6,128.224894064,73.69306397,57.07394875,74.0,44.0,1.32,10.3661474573001,41.3926874563562,49.4231763682417,,11.702,33.8,50.8993863954011,6.26,80.89,1.99558909788963,10933.2712187989,,3.30655909,249.699176317232,55.4,2.299999952,56.225,,1.32,15.50890541,0.132,24.1720241654505,22414773.0,2.73339143935583,17.9792837089917,15.7996845751465,16.383,59.3775316348744,Other,,,0,3.2809112157876537,4.861554251302312,4.313387236020547,9.299657284232259,16.92523085298683,5.524253719627267,1.0,0
AGO,2010,38.0,24.8,119.819802447,68.933628643,57.96461105,73.0,45.0,,10.0913068588653,42.2777189153195,50.922281472487,,11.078,35.0,53.8925161319852,6.194,85.77,5.29366572819954,11077.1301919405,,2.36373854,178.065834432951,51.1,2.799999952,57.242,,,19.34375572,,24.17805671622,23294825.0,2.72990245687615,18.6851888986925,14.5589920536317,16.595,60.1310289535053,Other,,,0,3.250374491927572,4.794300199607454,4.247546630016344,9.31272819082048,16.9637418337911,5.187753528350763,9.0,0
AGO,2011,39.0,24.7,112.052809104,64.428147801,58.75334146,72.0,45.0,,9.55630602216444,43.1620627220945,52.4357414255652,,10.546,34.6,54.1205324819562,6.12,93.77,3.59386960240222,11037.6388778577,,2.35561895,177.55705381199,47.6,4.699999809,58.093,,,17.99380875,,24.337940171596,24218352.0,2.72825960098894,19.4259661506377,14.3382952931909,16.77,60.8431610396073,Other,,,0,3.246490991901174,4.727855046747861,4.180952560380706,9.309157022181122,17.002621292125475,5.184908179347987,-1.0,0
